Unit ID,School/Corporate,Staff ID,Fixed Period or Ongoing,Actual Pay,Gender,Indigenous Dsc,Age,Teaching/Non-Teaching,Length of Service (Months),Service_Years,Start_Age,Unrealistic_Service,Age Group,Tenure Group
Unit 2,Corporate,JWO2068,Ongoing," $160,000 ",Female,Non-Indigenous,47,Teaching,309,25.75,21.25,False,40–49,10+ yrs
Unit 2,Corporate,TQJ6864,Ongoing," $130,000 ",Female,Non-Indigenous,54,Non-Teaching,295,24.583333333333332,29.416666666666668,False,50–59,10+ yrs
Unit 2,Corporate,OHR8109,Ongoing," $70,000 ",Male,Non-Indigenous,64,Non-Teaching,147,12.25,51.75,False,60 and above,10+ yrs
Unit 2,Corporate,TST8086,Ongoing," $70,000 ",Female,Non-Indigenous,43,Non-Teaching,249,20.75,22.25,False,40–49,10+ yrs
Unit 2,Corporate,CON9862,Ongoing," $70,000 ",Male,Non-Indigenous,53,Non-Teaching,224,18.666666666666668,34.33333333333333,False,50–59,10+ yrs
Unit 2,Corporate,RGV8803,Ongoing," $70,000 ",Female,Non-Indigenous,52,Non-Teaching,242,20.166666666666668,31.833333333333332,False,50–59,10+ yrs
Unit 2,Corporate,GQT5435,Ongoing," $130,000 ",Female,Non-Indigenous,54,Non-Teaching,209,17.416666666666668,36.58333333333333,False,50–59,10+ yrs
Unit 2,Corporate,ISX1776,Ongoing," $160,000 ",Female,Non-Indigenous,39,Teaching,201,16.75,22.25,False,30–39,10+ yrs
Unit 2,Corporate,WDI9489,Ongoing," $160,000 ",Female,Non-Indigenous,64,Teaching,461,38.416666666666664,25.583333333333336,False,60 and above,10+ yrs
Unit 2,Corporate,SXS4710,Ongoing," $160,000 ",Female,Non-Indigenous,59,Teaching,452,37.666666666666664,21.333333333333336,False,50–59,10+ yrs
Unit 2,Corporate,KTV2180,Ongoing," $130,000 ",Female,Non-Indigenous,53,Non-Teaching,362,30.166666666666668,22.833333333333332,False,50–59,10+ yrs
Unit 2,Corporate,LHT6344,Ongoing," $160,000 ",Female,Non-Indigenous,36,Teaching,150,12.5,23.5,False,30–39,10+ yrs
Unit 2,Corporate,WCJ2411,Ongoing," $70,000 ",Female,Non-Indigenous,40,Non-Teaching,151,12.583333333333334,27.416666666666664,False,40–49,10+ yrs
Unit 2,Corporate,TVB7601,Ongoing," $70,000 ",Male,Non-Indigenous,58,Non-Teaching,146,12.166666666666666,45.833333333333336,False,50–59,10+ yrs
Unit 2,Corporate,WDZ9269,Ongoing," $130,000 ",Male,Non-Indigenous,44,Non-Teaching,146,12.166666666666666,31.833333333333336,False,40–49,10+ yrs
Unit 2,Corporate,DMA2937,Ongoing," $70,000 ",Female,Non-Indigenous,29,Non-Teaching,138,11.5,17.5,False,Under 30,10+ yrs
Unit 2,Corporate,IVO1788,Ongoing," $160,000 ",Female,Non-Indigenous,45,Teaching,131,10.916666666666666,34.083333333333336,False,40–49,10+ yrs
Unit 2,Corporate,KBO6594,Ongoing," $70,000 ",Female,Non-Indigenous,51,Non-Teaching,105,8.75,42.25,False,50–59,5–10 yrs
Unit 2,Corporate,KNY9307,Ongoing," $160,000 ",Female,Non-Indigenous,48,Teaching,93,7.75,40.25,False,40–49,5–10 yrs
Unit 2,Corporate,UMJ7173,Ongoing," $130,000 ",Female,Non-Indigenous,48,Non-Teaching,90,7.5,40.5,False,40–49,5–10 yrs
Unit 2,Corporate,QXQ2057,Ongoing," $70,000 ",Female,Non-Indigenous,36,Non-Teaching,79,6.583333333333333,29.416666666666668,False,30–39,5–10 yrs
Unit 2,Corporate,JQZ1781,Ongoing," $160,000 ",Male,Non-Indigenous,33,Teaching,69,5.75,27.25,False,30–39,5–10 yrs
Unit 2,Corporate,JIG1297,Ongoing," $70,000 ",Male,Non-Indigenous,45,Non-Teaching,61,5.083333333333333,39.916666666666664,False,40–49,5–10 yrs
Unit 2,Corporate,FYA4296,Ongoing," $68,000 ",Female,Non-Indigenous,30,Non-Teaching,54,4.5,25.5,False,30–39,2–5 yrs
Unit 2,Corporate,OXP6622,Fixed Period," $160,000 ",Female,Non-Indigenous,52,Teaching,51,4.25,47.75,False,50–59,2–5 yrs
Unit 2,Corporate,IYL9585,Ongoing," $65,000 ",Male,Non-Indigenous,33,Non-Teaching,54,4.5,28.5,False,30–39,2–5 yrs
Unit 2,Corporate,EZJ9992,Ongoing," $130,000 ",Male,Non-Indigenous,31,Non-Teaching,42,3.5,27.5,False,30–39,2–5 yrs
Unit 2,Corporate,URC5672,Ongoing," $70,000 ",Female,Non-Indigenous,29,Non-Teaching,42,3.5,25.5,False,Under 30,2–5 yrs
Unit 2,Corporate,YFX5401,Fixed Period," $160,000 ",Female,Non-Indigenous,32,Teaching,39,3.25,28.75,False,30–39,2–5 yrs
